Nonce,Result
0,1.06
1,1.65
2,50.52
3,1.12
4,6.01
5,2.97
6,2.66
7,2.42
8,2.54
9,2.49
10,1.95
11,1.16
12,2.62
13,6.47
14,1.43
15,1.24
16,1.3
17,2.64
18,1.44
19,4.24
20,1.89
21,5.15
22,2.38
23,1.0
24,10.17
25,1.15
26,5.11
27,1.58
28,1.84
29,12.56
30,1.94
31,1.78
32,1.64
33,1.05
34,1.2
35,2.38
36,5.74
37,2.46
38,1.34
39,2.19
40,2.28
41,1.68
42,5.8
43,1.03
44,1.05
45,1.48
46,1.31
47,1.2
48,1.34
49,2.66
50,5.51
51,1.07
52,5.83
53,4.86
54,3.19
55,1.81
56,1.49
57,3.08
58,1.84
59,1.03
60,7.44
61,2.26
62,1.43
63,20.96
64,1.72
65,1.37
66,17.21
67,1.43
68,1.48
69,2.19
70,1.04
71,6.45
72,3.26
73,13.38
74,1.17
75,1.61
76,1.12
77,14.1
78,14.76
79,1.36
80,1.1
81,1.39
82,2.58
83,1.15
84,2.44
85,13.06
86,6.46
87,3.92
88,1.73
89,2.7
90,4.17
91,1.96
92,1.16
93,1.47
94,4.34
95,1.56
96,8.54
97,8.97
98,4.13
99,2.1
100,1.23
101,3.91
102,1.85
103,2.01
104,2.39
105,1.19
106,1.02
107,1.8
108,1.55
109,10.52
110,1.28
111,1.9
112,2.57
113,35.92
114,1.39
115,1.72
116,9.32
117,9.55
118,2.9
119,1.0
120,1.82
121,1.24
122,1.31
123,238.42
124,1.28
125,1.35
126,1.2
127,1.09
128,1.89
129,1.49
130,8.02
131,1.36
132,1.01
133,150.4
134,8.92
135,1.03
136,1.36
137,409.14
138,1.44
139,1.37
140,1.17
141,1.2
142,2.71
143,1.25
144,3.49
145,2.69
146,3.62
147,1.57
148,1.15
149,3.54
150,3.46
151,8.99
152,1.0
153,1.04
154,1.97
155,1.47
156,2.4
157,1.09
158,2.81
159,3.04
160,1.25
161,2.54
162,10.78
163,1.58
164,2.78
165,3.25
166,9.06
167,2.72
168,2.74
169,1.24
170,1.38
171,1.11
172,1.28
173,1.78
174,2.75
175,1.22
176,1.54
177,1.02
178,1.01
179,2.16
180,11.38
181,1.12
182,3.82
183,1.51
184,2.05
185,6.87
186,1.41
187,1.22
188,1.06
189,15.02
190,1.18
191,1.95
192,2.12
193,2.08
194,1.16
195,2.46
196,2.04
197,40.04
198,1.35
199,1.12
200,21.47
201,2.13
202,2.93
203,1.19
204,18.2
205,1.21
206,2.29
207,2.2
208,1.17
209,1.12
210,2.04
211,1.02
212,8.75
213,2.16
214,22.53
215,1.21
216,1.75
217,2.21
218,3.49
219,1.42
220,1.47
221,1.27
222,1.01
223,1
224,2.2
225,1.4
226,2.99
227,1
228,2.92
229,34.11
230,1.66
231,47.78
232,1.43
233,1.61
234,1.97
235,8.9
236,1.07
237,1.47
238,7.9
239,9.77
240,2.38
241,80.37
242,1.33
243,3.57
244,2.53
245,2.95
246,9.66
247,5.55
248,4.25
249,3.34
250,1.14
251,2.4
252,5.88
253,3.83
254,1.33
255,1.19
256,130.59
257,2.19
258,1.23
259,4.41
260,1.34
261,9.49
262,3.99
263,5.73
264,1.04
265,2.94
266,1.38
267,1.15
268,1.08
269,1.15
270,3.41
271,1.35
272,135.8
273,1.28
274,1.01
275,18.33
276,2.14
277,1.22
278,2.53
279,1.34
280,1.57
281,1.77
282,5.44
283,2.05
284,1.0
285,3.52
286,10.45
287,1.5
288,1.3
289,2.29
290,3.67
291,1.55
292,1.46
293,1.16
294,1.46
295,1.13
296,18.43
297,1.05
298,1.08
299,2.02
300,7.42
301,7.73
302,10.78
303,25.12
304,1.1
305,1.67
306,2.09
307,7.1
308,10.76
309,1.31
310,11.51
311,2.66
312,2.35
313,1.33
314,1.56
315,1.39
316,1.62
317,4.42
318,9.47
319,7.08
320,1.02
